Latest available 2017 data is November  
DEST,Description,N/A(PCT_ONTIME_ARR)
"ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",82.2400
"ABI","Abilene, TX: Abilene Regional",70.7300
"ABQ","Albuquerque, NM: Albuquerque International Sunport",80.6000
"ABR","Aberdeen, SD: Aberdeen Regional",92.0500
"ABY","Albany, GA: Southwest Georgia Regional",79.0300
"ACK","Nantucket, MA: Nantucket Memorial",74.8900
"ACT","Waco, TX: Waco Regional",78.1100
"ACV","Arcata/Eureka, CA: California Redwood Coast Humboldt County",67.6400
"ACY","Atlantic City, NJ: Atlantic City International",77.5100
"ADK","Adak Island, AK: Adak",85.2600
"ADQ","Kodiak, AK: Kodiak Airport",85.4900
"AEX","Alexandria, LA: Alexandria International",82.2300
"AGS","Augusta, GA: Augusta Regional at Bush Field",80.4700
"AKN","King Salmon, AK: King Salmon Airport",95.2400
"ALB","Albany, NY: Albany International",81.4100
"ALO","Waterloo, IA: Waterloo Regional",74.2700
"AMA","Amarillo, TX: Rick Husband Amarillo International",81.8300
"ANC","Anchorage, AK: Ted Stevens Anchorage International",85.2500
"APN","Alpena, MI: Alpena County Regional",82.7200
"ASE","Aspen, CO: Aspen Pitkin County Sardy Field",73.1700
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",84.7900
"ATW","Appleton, WI: Appleton International",82.1000
"AUS","Austin, TX: Austin - Bergstrom International",81.2100
"AVL","Asheville, NC: Asheville Regional",78.2900
"AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",80.8100
"AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International",78.2500
"BDL","Hartford, CT: Bradley International",79.5100
"BET","Bethel, AK: Bethel Airport",87.6300
"BFL","Bakersfield, CA: Meadows Field",82.2000
"BGM","Binghamton, NY: Greater Binghamton/Edwin A. Link Field",79.5400
"BGR","Bangor, ME: Bangor International",76.9200
"BHM","Birmingham, AL: Birmingham-Shuttlesworth International",80.5300
"BIL","Billings, MT: Billings Logan International",87.8700
"BIS","Bismarck/Mandan, ND: Bismarck Municipal",83.3100
"BJI","Bemidji, MN: Bemidji Regional",90.5400
"BLI","Bellingham, WA: Bellingham International",77.2700
"BMI","Bloomington/Normal, IL: Central Illinois Regional",78.3000
"BNA","Nashville, TN: Nashville International",81.3000
"BOI","Boise, ID: Boise Air Terminal",82.4100
"BOS","Boston, MA: Logan International",74.2300
"BPT","Beaumont/Port Arthur, TX: Jack Brooks Regional",28.5700
"BQK","Brunswick, GA: Brunswick Golden Isles",78.5800
"BQN","Aguadilla, PR: Rafael Hernandez",59.7700
"BRD","Brainerd, MN: Brainerd Lakes Regional",91.6200
"BRO","Brownsville, TX: Brownsville South Padre Island International",86.1600
"BRW","Barrow, AK: Wiley Post/Will Rogers Memorial",85.2400
"BTM","Butte, MT: Bert Mooney",89.0500
"BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",77.9700
"BTV","Burlington, VT: Burlington International",75.8200
"BUF","Buffalo, NY: Buffalo Niagara International",79.1900
"BUR","Burbank, CA: Bob Hope",78.4000
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",82.2400
"BZN","Bozeman, MT: Bozeman Yellowstone International",85.4600
"CAE","Columbia, SC: Columbia Metropolitan",79.5700
"CAK","Akron, OH: Akron-Canton Regional",78.8300
"CDC","Cedar City, UT: Cedar City Regional",82.3400
"CDV","Cordova, AK: Merle K Mudhole Smith",82.2300
"CHA","Chattanooga, TN: Lovell Field",75.4000
"CHO","Charlottesville, VA: Charlottesville Albemarle",73.4500
"CHS","Charleston, SC: Charleston AFB/International",81.4700
"CID","Cedar Rapids/Iowa City, IA: The Eastern Iowa",80.5400
"CIU","Sault Ste. Marie, MI: Chippewa County International",84.0300
"CKB","Clarksburg/Fairmont, WV: North Central West Virginia",85.7100
"CLE","Cleveland, OH: Cleveland-Hopkins International",80.8000
"CLL","College Station/Bryan, TX: Easterwood Field",83.2400
"CLT","Charlotte, NC: Charlotte Douglas International",84.1400
"CMH","Columbus, OH: John Glenn Columbus International",81.5800
"CMX","Hancock/Houghton, MI: Houghton County Memorial",79.0400
"COD","Cody, WY: Yellowstone Regional",91.7400
"COS","Colorado Springs, CO: City of Colorado Springs Municipal",78.2200
"COU","Columbia, MO: Columbia Regional",75.1000
"CPR","Casper, WY: Casper/Natrona County International",91.0100
"CRP","Corpus Christi, TX: Corpus Christi International",78.2700
"CRW","Charleston/Dunbar, WV: Yeager",78.0300
"CSG","Columbus, GA: Columbus Airport",78.4300
"CVG","Cincinnati, OH: Cincinnati/Northern Kentucky International",82.3000
"CWA","Mosinee, WI: Central Wisconsin",75.2900
"DAB","Daytona Beach, FL: Daytona Beach International",84.1200
"DAL","Dallas, TX: Dallas Love Field",79.1800
"DAY","Dayton, OH: James M Cox/Dayton International",82.2300
"DCA","Washington, DC: Ronald Reagan Washington National",79.7300
"DEN","Denver, CO: Denver International",83.6400
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",82.4600
"DHN","Dothan, AL: Dothan Regional",79.7300
"DLG","Dillingham, AK: Dillingham Airport",92.8600
"DLH","Duluth, MN: Duluth International",82.7100
"DRO","Durango, CO: Durango La Plata County",85.8500
"DSM","Des Moines, IA: Des Moines International",82.2200
"DTW","Detroit, MI: Detroit Metro Wayne County",84.9500
"DVL","Devils Lake, ND: Devils Lake Regional",80.4500
"EAU","Eau Claire, WI: Chippewa Valley Regional",81.9600
"ECP","Panama City, FL: Northwest Florida Beaches International",82.2300
"EGE","Eagle, CO: Eagle County Regional",73.5700
"EKO","Elko, NV: Elko Regional",91.2100
"ELM","Elmira/Corning, NY: Elmira/Corning Regional",76.5100
"ELP","El Paso, TX: El Paso International",78.6400
"ERI","Erie, PA: Erie International/Tom Ridge Field",80.9000
"ESC","Escanaba, MI: Delta County",80.8000
"EUG","Eugene, OR: Mahlon Sweet Field",80.5600
